Date Open High Low Close Volume Dividends "Stock Splits"
2017-01-03 206.68806385227396 207.4136474882859 205.62267208047223 206.87176513671875 91366500 0.0 0
2017-01-04 207.2207899300342 208.2586434426166 207.21161047056108 208.10250854492188 78744400 0.0 0
2017-01-05 207.8177752848323 208.10249266563503 207.09219162300508 207.93716430664062 78379000 0.0 0
2017-01-06 208.0565530527155 209.1770635814199 207.47792485763898 208.6811065673828 71559900 0.0 0
2017-01-09 208.40559420962126 208.552549644549 207.95554844557068 207.99229431152344 46939700 0.0 0
2017-01-10 208.01065323005818 208.90155128445033 207.57898039898396 207.99229431152344 63771900 0.0 0
2017-01-11 207.90043503627533 208.58009338378906 207.19322429766083 208.58009338378906 74650000 0.0 0
2017-01-12 208.029027197463 208.25863981026373 206.61461966896485 208.05657958984375 72113200 0.0 0
2017-01-13 208.2402535761671 208.85561365743487 208.2035217268195 208.53416442871094 62717900 0.0 0
2017-01-17 207.85451274198888 208.2861855614457 207.38610807200945 207.79940795898438 61240800 0.0 0
2017-01-18 208.06575571659175 208.30456179932227 207.4779479978144 208.25863647460938 54793300 0.0 0
2017-01-19 208.34128900076357 208.4882444307886 207.02791163282296 207.4871368408203 66608800 0.0 0
2017-01-20 208.21272007526073 208.77297542611487 207.5422551519245 208.2494659423828 129168600 0.0 0
2017-01-23 208.2494617283869 208.31374597288664 206.8993384350331 207.7075653076172 75061600 0.0 0
2017-01-24 207.937155001824 209.48015888748122 207.8177659853581 209.039306640625 95555300 0.0 0
2017-01-25 210.04961715975725 210.84867858886716 209.8751093302454 210.8486785888672 84437700 0.0 0
2017-01-26 210.6925191046722 210.97725050478982 210.33432400423382 210.62823486328125 59970700 0.0 0
2017-01-27 210.71090733478044 210.8670422345695 210.10472665481666 210.297607421875 59711100 0.0 0
2017-01-30 209.56284301249673 209.59039540556682 207.9463752231346 208.993408203125 79737300 0.0 0
2017-01-31 208.469886054138 209.03933488163455 207.86371938823325 208.97503662109375 75880800 0.0 0
2017-02-01 208.97502104907065 209.94857624314403 208.43313866964357 209.05767822265625 79117700 0.0 0
2017-02-02 209.05770435903784 209.49857070216035 208.32295514938605 209.1954803466797 69657600 0.0 0
2017-02-03 210.15983651564952 210.83030141315018 209.82919379650207 210.63742065429688 80563200 0.0 0
2017-02-06 210.20578998022242 210.62828343391934 209.90269959235286 210.26089477539062 57790100 0.0 0
2017-02-07 210.67417049256656 210.9313354995925 210.06798982695892 210.27005004882812 57931200 0.0 0
2017-02-08 210.27004007577293 210.6833399592875 209.69141183018783 210.5455780029297 51566200 0.0 0
2017-02-09 210.54558457147775 212.11612698071875 210.54558457147775 211.794677734375 65955200 0.0 0
2017-02-10 212.1620427281695 212.86925346130687 211.81302709100856 212.6304473876953 66015900 0.0 0
2017-02-13 213.1539866602464 214.06325767032283 213.12643426731455 213.7877197265625 55182100 0.0 0
2017-02-14 213.59481285635619 214.65103917593996 213.22743831920374 214.641845703125 71109000 0.0 0
2017-02-15 214.4122516150125 215.96443509513102 214.35714683112877 215.7623748779297 86785800 0.0 0
2017-02-16 215.78989870602376 215.98277943852688 214.7796117681891 215.5786590576172 84722400 0.0 0
2017-02-17 214.87148508906205 215.91851806640625 214.85311215558104 215.91851806640625 77204100 0.0 0
2017-02-21 216.31346286735933 217.38804825663374 216.3042693932359 217.20436096191406 88946100 0.0 0
2017-02-22 216.77269777582657 217.25028196050152 216.59818993300797 217.01148986816406 62115200 0.0 0
2017-02-23 217.5625218827637 217.58088079923937 216.35016070224606 217.1584014892578 74615900 0.0 0
2017-02-24 216.2583141784807 217.47984074688728 216.21238886051336 217.43392944335938 82381600 0.0 0
2017-02-27 217.34214607322502 217.95750628400634 217.07580156968592 217.77381896972656 56515400 0.0 0
